outer_fold,inner_fold,row,patient,role
0,0,0,mitdb/100,train
0,0,1,mitdb/100,train
0,0,2,mitdb/100,train
0,0,3,mitdb/100,train
0,0,4,mitdb/100,train
0,0,5,mitdb/100,train
0,0,6,mitdb/100,train
0,0,7,mitdb/100,train
0,0,8,mitdb/100,train
0,0,9,mitdb/100,train
0,0,20,mitdb/111,train
0,0,21,mitdb/111,train
0,0,22,mitdb/111,train
0,0,23,mitdb/111,train
0,0,24,mitdb/111,train
0,0,25,mitdb/111,train
0,0,26,mitdb/111,train
0,0,27,mitdb/111,train
0,0,28,mitdb/111,train
0,0,29,mitdb/111,train
0,0,40,mitdb/113,train
0,0,41,mitdb/113,train
0,0,42,mitdb/113,train
0,0,43,mitdb/113,train
0,0,44,mitdb/113,train
0,0,45,mitdb/113,train
0,0,46,mitdb/113,train
0,0,47,mitdb/113,train
0,0,48,mitdb/113,train
0,0,49,mitdb/113,train
0,0,50,mitdb/114,train
0,0,51,mitdb/114,train
0,0,52,mitdb/114,train
0,0,53,mitdb/114,train
0,0,54,mitdb/114,train
0,0,55,mitdb/114,train
0,0,56,mitdb/114,train
0,0,57,mitdb/114,train
0,0,58,mitdb/114,train
0,0,59,mitdb/114,train
0,0,70,mitdb/116,train
0,0,71,mitdb/116,train
0,0,72,mitdb/116,train
0,0,73,mitdb/116,train
0,0,74,mitdb/116,train
0,0,75,mitdb/116,train
0,0,76,mitdb/116,train
0,0,77,mitdb/116,train
0,0,78,mitdb/116,train
0,0,79,mitdb/116,train
0,0,80,mitdb/117,train
0,0,81,mitdb/117,train
0,0,82,mitdb/117,train
0,0,83,mitdb/117,train
0,0,84,mitdb/117,train
0,0,85,mitdb/117,train
0,0,86,mitdb/117,train
0,0,87,mitdb/117,train
0,0,88,mitdb/117,train
0,0,89,mitdb/117,train
0,0,120,mitdb/121,train
0,0,121,mitdb/121,train
0,0,122,mitdb/121,train
0,0,123,mitdb/121,train
0,0,124,mitdb/121,train
0,0,125,mitdb/121,train
0,0,126,mitdb/121,train
0,0,127,mitdb/121,train
0,0,128,mitdb/121,train
0,0,129,mitdb/121,train
0,0,130,mitdb/122,train
0,0,131,mitdb/122,train
0,0,132,mitdb/122,train
0,0,133,mitdb/122,train
0,0,134,mitdb/122,train
0,0,135,mitdb/122,train
0,0,136,mitdb/122,train
0,0,137,mitdb/122,train
0,0,138,mitdb/122,train
0,0,139,mitdb/122,train
0,0,160,mitdb/200,train
0,0,161,mitdb/200,train
0,0,162,mitdb/200,train
0,0,163,mitdb/200,train
0,0,164,mitdb/200,train
0,0,165,mitdb/200,train
0,0,166,mitdb/200,train
0,0,167,mitdb/200,train
0,0,168,mitdb/200,train
0,0,169,mitdb/200,train
0,0,190,mitdb/203,train
0,0,191,mitdb/203,train
0,0,192,mitdb/203,train
0,0,193,mitdb/203,train
0,0,194,mitdb/203,train
0,0,195,mitdb/203,train
0,0,196,mitdb/203,train
0,0,197,mitdb/203,train
0,0,198,mitdb/203,train
0,0,199,mitdb/203,train
0,0,210,mitdb/207,train
0,0,211,mitdb/207,train
0,0,212,mitdb/207,train
0,0,213,mitdb/207,train
0,0,214,mitdb/207,train
0,0,215,mitdb/207,train
0,0,216,mitdb/207,train
0,0,217,mitdb/207,train
0,0,218,mitdb/207,train
0,0,219,mitdb/207,train
0,0,220,mitdb/102,train
0,0,221,mitdb/102,train
0,0,222,mitdb/102,train
0,0,223,mitdb/102,train
0,0,224,mitdb/102,train
0,0,225,mitdb/102,train
0,0,226,mitdb/102,train
0,0,227,mitdb/102,train
0,0,228,mitdb/102,train
0,0,229,mitdb/102,train
0,0,230,mitdb/208,train
0,0,231,mitdb/208,train
0,0,232,mitdb/208,train
0,0,233,mitdb/208,train
0,0,234,mitdb/208,train
0,0,235,mitdb/208,train
0,0,236,mitdb/208,train
0,0,237,mitdb/208,train
0,0,238,mitdb/208,train
0,0,239,mitdb/208,train
0,0,260,mitdb/212,train
0,0,261,mitdb/212,train
0,0,262,mitdb/212,train
0,0,263,mitdb/212,train
0,0,264,mitdb/212,train
0,0,265,mitdb/212,train
0,0,266,mitdb/212,train
0,0,267,mitdb/212,train
0,0,268,mitdb/212,train
0,0,269,mitdb/212,train
0,0,270,mitdb/213,train
0,0,271,mitdb/213,train
0,0,272,mitdb/213,train
0,0,273,mitdb/213,train
0,0,274,mitdb/213,train
0,0,275,mitdb/213,train
0,0,276,mitdb/213,train
0,0,277,mitdb/213,train
0,0,278,mitdb/213,train
0,0,279,mitdb/213,train
0,0,290,mitdb/215,train
0,0,291,mitdb/215,train
0,0,292,mitdb/215,train
0,0,293,mitdb/215,train
0,0,294,mitdb/215,train
0,0,295,mitdb/215,train
0,0,296,mitdb/215,train
0,0,297,mitdb/215,train
0,0,298,mitdb/215,train
0,0,299,mitdb/215,train
0,0,310,mitdb/219,train
0,0,311,mitdb/219,train
0,0,312,mitdb/219,train
0,0,313,mitdb/219,train
0,0,314,mitdb/219,train
0,0,315,mitdb/219,train
0,0,316,mitdb/219,train
0,0,317,mitdb/219,train
0,0,318,mitdb/219,train
0,0,319,mitdb/219,train
0,0,320,mitdb/220,train
0,0,321,mitdb/220,train
0,0,322,mitdb/220,train
0,0,323,mitdb/220,train
0,0,324,mitdb/220,train
0,0,325,mitdb/220,train
0,0,326,mitdb/220,train
0,0,327,mitdb/220,train
0,0,328,mitdb/220,train
0,0,329,mitdb/220,train
0,0,330,mitdb/103,train
0,0,331,mitdb/103,train
0,0,332,mitdb/103,train
0,0,333,mitdb/103,train
0,0,334,mitdb/103,train
0,0,335,mitdb/103,train
0,0,336,mitdb/103,train
0,0,337,mitdb/103,train
0,0,338,mitdb/103,train
0,0,339,mitdb/103,train
0,0,380,mitdb/230,train
0,0,381,mitdb/230,train
0,0,382,mitdb/230,train
0,0,383,mitdb/230,train
0,0,384,mitdb/230,train
0,0,385,mitdb/230,train
0,0,386,mitdb/230,train
0,0,387,mitdb/230,train
0,0,388,mitdb/230,train
0,0,389,mitdb/230,train
0,0,400,mitdb/232,train
0,0,401,mitdb/232,train
0,0,402,mitdb/232,train
0,0,403,mitdb/232,train
0,0,404,mitdb/232,train
0,0,405,mitdb/232,train
0,0,406,mitdb/232,train
0,0,407,mitdb/232,train
0,0,408,mitdb/232,train
0,0,409,mitdb/232,train
0,0,420,mitdb/234,train
0,0,421,mitdb/234,train
0,0,422,mitdb/234,train
0,0,423,mitdb/234,train
0,0,424,mitdb/234,train
0,0,425,mitdb/234,train
0,0,426,mitdb/234,train
0,0,427,mitdb/234,train
0,0,428,mitdb/234,train
0,0,429,mitdb/234,train
0,0,430,mitdb/100,train
0,0,431,mitdb/100,train
0,0,432,mitdb/100,train
0,0,433,mitdb/100,train
0,0,434,mitdb/100,train
0,0,435,mitdb/100,train
0,0,436,mitdb/100,train
0,0,437,mitdb/100,train
0,0,438,mitdb/100,train
0,0,439,mitdb/100,train
0,0,440,mitdb/104,train
0,0,441,mitdb/104,train
0,0,442,mitdb/104,train
0,0,443,mitdb/104,train
0,0,444,mitdb/104,train
0,0,445,mitdb/104,train
0,0,446,mitdb/104,train
0,0,447,mitdb/104,train
0,0,448,mitdb/104,train
0,0,449,mitdb/104,train
0,0,460,mitdb/102,train
0,0,461,mitdb/102,train
0,0,462,mitdb/102,train
0,0,463,mitdb/102,train
0,0,464,mitdb/102,train
0,0,465,mitdb/102,train
0,0,466,mitdb/102,train
0,0,467,mitdb/102,train
0,0,468,mitdb/102,train
0,0,469,mitdb/102,train
0,0,470,mitdb/103,train
0,0,471,mitdb/103,train
0,0,472,mitdb/103,train
0,0,473,mitdb/103,train
0,0,474,mitdb/103,train
0,0,475,mitdb/103,train
0,0,476,mitdb/103,train
0,0,477,mitdb/103,train
0,0,478,mitdb/103,train
0,0,479,mitdb/103,train
0,0,480,mitdb/104,train
0,0,481,mitdb/104,train
0,0,482,mitdb/104,train
0,0,483,mitdb/104,train
0,0,484,mitdb/104,train
0,0,485,mitdb/104,train
0,0,486,mitdb/104,train
0,0,487,mitdb/104,train
0,0,488,mitdb/104,train
0,0,489,mitdb/104,train
0,0,490,mitdb/105,train
0,0,491,mitdb/105,train
0,0,492,mitdb/105,train
0,0,493,mitdb/105,train
0,0,494,mitdb/105,train
0,0,495,mitdb/105,train
0,0,496,mitdb/105,train
0,0,497,mitdb/105,train
0,0,498,mitdb/105,train
0,0,499,mitdb/105,train
0,0,510,mitdb/107,train
0,0,511,mitdb/107,train
0,0,512,mitdb/107,train
0,0,513,mitdb/107,train
0,0,514,mitdb/107,train
0,0,515,mitdb/107,train
0,0,516,mitdb/107,train
0,0,517,mitdb/107,train
0,0,518,mitdb/107,train
0,0,519,mitdb/107,train
0,0,540,mitdb/111,train
0,0,541,mitdb/111,train
0,0,542,mitdb/111,train
0,0,543,mitdb/111,train
0,0,544,mitdb/111,train
0,0,545,mitdb/111,train
0,0,546,mitdb/111,train
0,0,547,mitdb/111,train
0,0,548,mitdb/111,train
0,0,549,mitdb/111,train
0,0,550,mitdb/105,train
0,0,551,mitdb/105,train
0,0,552,mitdb/105,train
0,0,553,mitdb/105,train
0,0,554,mitdb/105,train
0,0,555,mitdb/105,train
0,0,556,mitdb/105,train
0,0,557,mitdb/105,train
0,0,558,mitdb/105,train
0,0,559,mitdb/105,train
0,0,570,mitdb/113,train
0,0,571,mitdb/113,train
0,0,572,mitdb/113,train
0,0,573,mitdb/113,train
0,0,574,mitdb/113,train
0,0,575,mitdb/113,train
0,0,576,mitdb/113,train
0,0,577,mitdb/113,train
0,0,578,mitdb/113,train
0,0,579,mitdb/113,train
0,0,580,mitdb/114,train
0,0,581,mitdb/114,train
0,0,582,mitdb/114,train
0,0,583,mitdb/114,train
0,0,584,mitdb/114,train
0,0,585,mitdb/114,train
0,0,586,mitdb/114,train
0,0,587,mitdb/114,train
0,0,588,mitdb/114,train
0,0,589,mitdb/114,train
0,0,600,mitdb/116,train
0,0,601,mitdb/116,train
0,0,602,mitdb/116,train
0,0,603,mitdb/116,train
0,0,604,mitdb/116,train
0,0,605,mitdb/116,train
0,0,606,mitdb/116,train
0,0,607,mitdb/116,train
0,0,608,mitdb/116,train
0,0,609,mitdb/116,train
0,0,610,mitdb/117,train
0,0,611,mitdb/117,train
0,0,612,mitdb/117,train
0,0,613,mitdb/117,train
0,0,614,mitdb/117,train
0,0,615,mitdb/117,train
0,0,616,mitdb/117,train
0,0,617,mitdb/117,train
0,0,618,mitdb/117,train
0,0,619,mitdb/117,train
